,field_1,LocationID,Borough,Zone,service_zone,geometry
198,211,212,Bronx,Soundview/Bruckner,Boro Zone,"POLYGON ((-73.88450499999999 40.813935, -73.8568487 40.813935, -73.8568487 40.837298, -73.88450499999999 40.837298, -73.88450499999999 40.813935))"
199,213,214,Staten Island,South Beach/Dongan Hills,Boro Zone,"POLYGON ((-74.1008021 40.5847149, -74.0814632 40.5847149, -74.0814632 40.5970592, -74.1008021 40.5970592, -74.1008021 40.5847149))"
200,214,215,Queens,South Jamaica,Boro Zone,"POLYGON ((-73.808984 40.6641712, -73.7743057 40.6641712, -73.7743057 40.7021839, -73.808984 40.7021839, -73.808984 40.6641712))"
201,215,216,Queens,South Ozone Park,Boro Zone,"POLYGON ((-73.84216649999999 40.659734, -73.8010314 40.659734, -73.8010314 40.6938801, -73.84216649999999 40.6938801, -73.84216649999999 40.659734))"
202,216,217,Brooklyn,South Williamsburg,Boro Zone,"POLYGON ((-73.9699432 40.6984866, -73.9420904 40.6984866, -73.9420904 40.7167119, -73.9699432 40.7167119, -73.9699432 40.6984866))"
203,217,218,Queens,Springfield Gardens North,Boro Zone,"POLYGON ((-73.7695614 40.6630496, -73.76756139999999 40.6630496, -73.76756139999999 40.665049599999996, -73.7695614 40.665049599999996, -73.7695614 40.6630496))"
204,218,219,Queens,Springfield Gardens South,Boro Zone,"POLYGON ((-73.7695614 40.6630496, -73.76756139999999 40.6630496, -73.76756139999999 40.665049599999996, -73.7695614 40.665049599999996, -73.7695614 40.6630496))"
205,219,220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,"POLYGON ((-73.92459819999999 40.8755781, -73.9085051 40.8755781, -73.9085051 40.88624980000001, -73.92459819999999 40.88624980000001, -73.92459819999999 40.8755781))"
206,221,222,Brooklyn,Starrett City,Boro Zone,"POLYGON ((-73.8912035 40.636111, -73.8694812 40.636111, -73.8694812 40.6553846, -73.8912035 40.6553846, -73.8912035 40.636111))"
207,223,224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,"POLYGON ((-73.9825694 40.7284215, -73.9734363 40.7284215, -73.9734363 40.7350027, -73.9825694 40.7350027, -73.9825694 40.7284215))"
208,224,225,Brooklyn,Stuyvesant Heights,Boro Zone,"POLYGON ((-73.94430369999999 40.6793896, -73.9285708 40.6793896, -73.9285708 40.685351, -73.94430369999999 40.685351, -73.94430369999999 40.6793896))"
209,225,226,Queens,Sunnyside,Boro Zone,"POLYGON ((-87.6570809 41.945141500000005, -87.65508089999999 41.945141500000005, -87.65508089999999 41.9471415, -87.6570809 41.9471415, -87.6570809 41.945141500000005))"
210,226,227,Brooklyn,Sunset Park East,Boro Zone,"POLYGON ((-87.5731975 37.9603647, -87.5711975 37.9603647, -87.5711975 37.962364699999995, -87.5731975 37.962364699999995, -87.5731975 37.9603647))"
211,227,228,Brooklyn,Sunset Park West,Boro Zone,"POLYGON ((-87.5731975 37.9603647, -87.5711975 37.9603647, -87.5711975 37.962364699999995, -87.5731975 37.962364699999995, -87.5731975 37.9603647))"
212,228,229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,"POLYGON ((-73.9606878 40.7573622, -73.95967759999999 40.7573622, -73.95967759999999 40.7587562, -73.9606878 40.7587562, -73.9606878 40.7573622))"
